Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,250,10,▲,92,54
Minnesota,248,8,▲,85,53
Massachusetts,247,7,▲,85,50
Virginia,247,7,▲,87,48
Florida,246,6,▲,87,48
New Jersey,246,6,▲,85,48
Wyoming,246,6,▲,87,48
Indiana,245,5,▲,84,47
New Hampshire,245,5,▲,86,46
Pennsylvania,244,4,▲,81,47
Utah,244,4,▲,82,46
Nebraska,244,4,▲,84,45
Texas,244,4,▲,84,44
Connecticut,243,3,▲,82,45
North Dakota,243,3,▲,84,44
Idaho,242,2,♦,82,43
Colorado,242,2,♦,80,44
Wisconsin,242,2,♦,80,45
North Carolina,241,1,♦,82,41
South Dakota,241,1,♦,83,43
Ohio,241,1,♦,82,41
Montana,241,1,♦,82,43
Maine,241,1,♦,81,42
Mississippi,241,1,♦,84,39
Iowa,241,1,♦,81,42
National public,240,†,,80,40
Tennessee,240,#,♦,79,40
Washington,240,#,♦,79,39
Kansas,239,-1,♦,79,40
Rhode Island,239,-1,♦,81,40
Delaware,239,-1,♦,79,39
Kentucky,239,-1,♦,81,40
Vermont,239,-1,♦,81,39
Hawaii,239,-1,♦,78,40
Maryland,239,-1,♦,76,39
Missouri,238,-2,♦,80,39
Georgia,238,-2,▼,77,36
Arizona,238,-2,▼,77,37
Illinois,237,-3,▼,77,38
Oklahoma,237,-3,▼,80,35
South Carolina,237,-3,▼,77,36
New York,237,-3,▼,76,37
Oregon,236,-4,▼,75,37
Michigan,236,-4,▼,76,36
Nevada,236,-4,▼,77,34
California,235,-5,▼,75,34
District of Columbia,235,-5,▼,73,34
Arkansas,233,-7,▼,75,33
Alaska,232,-8,▼,73,33
West Virginia,231,-9,▼,74,30
Louisiana,231,-9,▼,73,29
New Mexico,231,-9,▼,72,29
Alabama,230,-10,▼,71,28
Puerto Rico,185,-55,▼,15,1
